,content,subID,mainID,filename,date,hasDollar,hasItem,hasSection
10,"2.8 20-007 Retroactive Approval of Eastridge Fall Fiesta Sponsored by Council District 8as a City Council Sponsored Special Event to Expend City Funds and Accept 
Donations of Materials and Services for the Event.
(a) Retroactively approve the Eastridge Fall Fiesta Event that took place 
on Thursday, October 25, 2019 as a City Council sponsored Special 
Event and approve the expenditure of funds; and
(b) Approve and accept donations from various individuals, businesses, 
or community groups to support the event.
CEQA: Not a Project, File No. PP17-011, Temporary Special Events 
resulting in no changes to the physical environment. (Arenas)

Action: The City Council Sponsored Special Event was retroactively approved. (11-0.)",8,2,Minutes_01.pdf,"January 7,2020",False,True,False
11,3. STRATEGIC SUPPORT,0,3,Minutes_01.pdf,"January 7,2020",False,False,False
12,"3.1 Report of the City Manager, David Sykes (Verbal Report)
None provided.",1,3,Minutes_01.pdf,"January 7,2020",False,False,False
13,"3.2 Labor Negotiations Update.
None provided.",2,3,Minutes_01.pdf,"January 7,2020",False,False,False
14,"3.3 20-008 Community Wi-Fi Strategy Update. - DEFERRED
As recommended by the Smart Cities and Service Improvements 
Committee on November 7, 2019, accept the report on the Citywide 
approach for the implementation of wi-fi that will help support 
economic development, City infrastructure, and minimize the digital 
divide.
CEQA: Not a Project, File No. PP17-009, Staff Reports, Assessments, 
Annual Reports, and Informational Memos that involve no approvals of 
any City action. (City Manager)
[Smart Cities and Service Improvements Committee referral -11/7/19 - 
Item (d)3]
Deferred to 1/28/20per Administration

City of San Jose Page 5 January 7,2020

",3,3,Minutes_01.pdf,"January 7,2020",False,True,False
15,4. COMMUNITY & ECONOMIC DEVELOPMENT,0,4,Minutes_01.pdf,"January 7,2020",False,False,False
16,"4.1 20-002 City Council Priority #7: Accessory Dwelling Unit (ADU) Amnesty Program.
(a) Accept the staff analysis and recommendation to establish an 
Amnesty Program for unpermitted accessory dwelling units;
(b) Determine that the City Council Policy Priority #7 is completed and 
will be removed from the Council Policy Priority list at the next 
priority-setting session in 2020.
CEQA: Not a Project, File No. PP17-008, General Procedure and 
Policy Making resulting in no changes to the physical environment.
(Planning, Building and Code Enforcement)
[Deferred from 12/17/19 - Item 4.4 (19-1207)]

Rosalynn Hughey, Director, Planning, Building and Code Enforcement, provided a presentation and 
responded to questions from Council.

Motion: Councilmember Pam Foley moved approval of staff recommendations, including the 
memorandum from Mayor Sam Liccardo, dated January 7, 2020. Councilmember Magdalena Carrasco 
seconded the motion.

Assistant City Attorney Ed Moran outlined the process and procedures required to formalize the 
proposed waiver.

The motion was modified to include adoption of a fee resolution that will set fees to $0 for property 
owners who meet the criteria for a Financial Hardship Exemption, pending a fees resolution update and 
an ordinance update to include a fee waiver.

Action: On a call for the question, the motion carried unanimously, and the staff recommendation was 
approved, with adoption of a fee resolution that will set fees to $0 for property owners who meet the 
criteria for a Financial Hardship Exemption, pending a fees resolution update and an ordinance update to 
include a fee waiver. Also including the memorandum from Mayor Sam Liccardo, dated January 7, 
2020, to “Accept staff recommendation and direct staff to include the following elements in an ADU 
amnesty program: (a) Waive the business tax for property owners who meet the criteria for a Financial 
Hardship Exemption: (i) Low revenue generating business with gross receipts below two times the 
poverty level; (ii) Limited household income with adjusted gross income below four times the poverty 
level; (b) Waive permit fees and impact fees for property owners who meet the same criteria as the 
business tax Financial Hardship Exemption, (c) Utilize third-party inspectors to conduct ADU 
inspections, plan check, customer assistance, and consultations without risk of enforcement unless an 
imminent threat to health and safety is found. (2) Direct staff to return to Council to propose a funding 
reserve for the program through the budget process.
(11-0.)",1,4,Minutes_01.pdf,"January 7,2020",True,True,False
17,"5. NEIGHBORHOOD SERVICES
City of San Jos£ Page 6 January 7,2020

",0,5,Minutes_01.pdf,"January 7,2020",False,False,False
18,6. TRANSPORTATION & AVIATION SERVICES,0,6,Minutes_01.pdf,"January 7,2020",False,False,False
19,"6.1 20-003 Submit Letter to VTA In Affirmation and Preservation of Funding for PlannedHighway and Streets Projects with Committed VTA Measure B Tax Dollars.
Adopt a position of support for the preservation of existing VTA 
Measure B highway and streets funding commitments against efforts to 
divert & redirect the voter-approved funding to nonhighway/streets 
purposes, and submit a letter to the VTA Board of Directors calling for 
implementation of Measure B’s funding program as passed by voters in 
2016, in advance of their January 9, 2020 Board meeting.
CEQA: Not a project, File No. PP17-010, City Organizational &
Administrative Activities resulting in no changes to the physical 
environment. (Jones, Foley, Davis, Khamis)

Public Comments: Cole Cameron and Monica Mallon offered support to the deferral of this item.

Action: Upon motion by Councilmember Johnny Khamis, seconded by Councilmember Dev Davis, 
and carried unanimously, under Orders of the Day, this item was deferred to January 28, 2020 to provide 
an opportunity to engage advocates on the issue of reallocation of Measure B tax dollars. (11-0.)",1,6,Minutes_01.pdf,"January 7,2020",False,True,False
20,7. ENVIRONMENTAL & UTILITY SERVICES,0,7,Minutes_01.pdf,"January 7,2020",False,False,False
21,8. PUBLIC SAFETY,0,8,Minutes_01.pdf,"January 7,2020",False,False,False
22,9. REDEVELOPMENT - SUCCESSOR AGENCY,0,9,Minutes_01.pdf,"January 7,2020",False,False,False
23,10. LAND USE,0,10,Minutes_01.pdf,"January 7,2020",False,False,False
24,"10.1 Land Use on Consent Calendar 
No Land Use items on Consent Calendar.

END OF CONSENT CALENDAR 

10 Land Use - Regular Agenda - None.

City of San Jose Page 7 January 7,2020



• Open Forum
Paul Soto offered appreciation to Councilmember Sergio Jimenez for his presence at recent display of 161 
tombstones honoring the homeless people who died in Santa Clara in 2019 and expressed disappointment in 
the absence and perceived lack of engagement by other officials.

• Adjournment

The Council of the City of San Jose adjourned at 2:34 p.m.

Minutes Recorded, Prepared and Respectfully Submitted by,

Toni J. Taber, CMC 
City Clerk

rmk/01-7-20 MIN

City of San Jose Page 8 January 7,2020



CITY OF

San Jose
CAPITAL OF SILICON VALLEY

CLOSED SESSION MINUTES

SAN JOSE, CALIFORNIA TUESDAY, JANUARY 7,2020

The Council of the City of San Jose convened into Closed Session at 9:40 a.m.

Absent Councilmembers: Carrasco (excused)
Councilmember Jimenez (10:15 a.m.); Councilmember Lan Diep (9:57 a.m.);
Councilmember Esparza (10:50 a.m.)

Council recessed at 9:40 a.m. to a Closed Session in Room W133; for the following:
A. PUBLIC EMPLOYMENT/PUBLIC EMPLOYEE EVALUATION PURSUANT TO GOVERNMENT 
CODE SECTION 54957: Title: Toni J. Taber, CMC Name: City Clerk B. CONFERENCE WITH LEGAL 
COUNSEL - ANTICIPATED LITIGATION: Significant exposure to litigation pursuant to Sections 
54956.9(d)(2) and (e)(1) of the Government Code: Number of matter(s) to be discussed: 1 C. CONFERENCE 
WITH LEGAL COUNSEL - EXISTING LITIGATION PURSUANT TO GOVERNMENT CODE SECTION 
54956.9(d)(1): 1. Case Name: Estate of Nunez, et al. v. City of San Jose Name(s) of Parties(s) Involved: CITY 
OF SAN JOSE, MICHAEL SANTOS and ANTHONY VIZZUSI; TONY NUNEZ, individually and as a 
successor-in-interest to Decedent ANTHONY NUNEZ and THE ESTATE OF ANTHONY NUNEZ Court:
U.S. District Court, Northern District of California, San Jose Division Case No.: 17-CV-03860-LHK Amount of 
Money or Other Relief Sought: Damages according to proof 2. Case Name: City of San Jose, et al. v. 
AmerisourceBergen Drug Corporation, et al. Name(s) of Parties(s) Involved: AMERISOURCEBERGEN 
DRUG CORPORATION; CARDINAL HEALTH, INC.; MCKESSON CORPORATION; PURDUE 
PHARMA L.P.; PURDUE PHARMA, INC.; THE PURDUE FREDERICK COMPANY, INC.; TEVA 
PHARMACEUTICAL INDUSTRIES, LTD.; TEVA PHARMACEUTICALS USA, INC.; CEPHALON, INC.; 
JOHNSON & JOHNSON; JANSSEN PHARMACEUTICALS, INC.; ORTHO-MCNEIL-JANS SEN 
PHARMACEUTICALS, INC. N/K/A JANSSEN PHARMACEUTICALS, INC.; JANSSEN 
PHARMACEUTICA INC. N/K/A JANSSEN PHARMACEUTICALS, INC.; NORAMCO, INC.; ENDO 
HEALTH SOLUTIONS INC.; ENDO PHARMACEUTICALS, INC.; ALLERGAN PLC F/K/A ACTAVIS 
PLS; WATSON PHARMACEUTICALS, INC. N/K/A ACTAVIS, INC.; WATSON LABORATORIES, INC.; 
ACTAVIS LLC; ACTAVIS PHARMA, INC. F/K/A WATSON PHARMA, INC.; MALLINCKRODT PLC;
MALLINCKRODT LLC; INSYS THERAPEUTICS, INC; CVS HEALTH CORP.; THE KROGER CO.; RITE 
AID OF MARYLAND, INC.; THRIFTY PAYLESS, INC.; WALGREENS BOOTS ALLIANCE, INC.; WAL- 
MART, INC. Court: U.S. District Court, Northern District of California, San Jose Division Case No.: 5:19-cv- 
04529 Amount of Money or Other Relief Sought: Damages according to proof D CONFERENCE WITH 
LABOR NEGOTIATOR PURSUANT TO GOVERNMENT CODE SECTION 54957.6: City Negotiator: 
Jennifer Schembri, Director of Employee Relations Employee Organizations: 1. Organization or Name and 
Title of Unrepresented Employees: Peace Officer Park Ranger Association (POPRA) Nature of negotiations: 
wages/salaries, hours, working conditions, etc. Name of Existing Contract or MOA: Memorandum of

City of San Jose Page 9 January 7,2020



Closed Session Minutes (Cont’d.)

Agreement — City of San Jose and Peace Officer Park Ranger Association How to Obtain a copy of Existing 
Contract or MOA: Web: http://www.sanjoseca.gov/index.aspx7NniN508 Telephone - Employee Relations: 
(408) 535-8150 2. Organization or Name and Title of Unrepresented Employees: City Association of 
Management Personnel Agreement (CAMP) Nature of negotiations: wages/salaries, hours, working conditions, 
etc. Name of Existing Contract or MOA: Benefit & Compensation Summary — City of San Jose and City 
Association of Management Personnel Agreement How to Obtain a copy of Existing Contract or MOA: Web: 
http://www.sanjoseca.gov/index.aspx7NniN508 Telephone - Employee Relations: (408) 535-8150 3. 
Organization or Name and Title of Unrepresented Employees: Municipal Employees’ Federation, AFSCME 
Local 101, AFL-CIO (MEF) Nature of negotiations: wages/salaries, hours, working conditions, etc. Name of 
Existing Contract or MOA: Memorandum of Agreement — City of San Jose and Municipal Employees’ 
Federation, AFSCME Local 101, AFL-CIO Howto Obtain a copy of Existing Contract or MOA: Web: 
http://www.sanjoseca.gov/index.aspx7NICN508 Telephone - Employee Relations: (408) 535-8150

Minutes pared and Respectfully Submitted by,

Toni J. Taber, CMC 
City Clerk

rmk/01-7-20 MIN

City of San Jose Page 10 January 7,2020

http://www.sanjoseca.gov/index.aspx7NniN508
http://www.sanjoseca.gov/index.aspx7NniN508
http://www.sanjoseca.gov/index.aspx7NICN508

",1,10,Minutes_01.pdf,"January 7,2020",False,True,False
25,"















































 
 City Council Synopsis  January 14, 2020 

 City of San José Page 1  January 14, 2020 

 

  

 City Council Meeting 
 Synopsis  
 

 Tuesday, January 14, 2020 

 

 SAM LICCARDO, MAYOR 

 CHAPPIE JONES, VICE MAYOR, DISTRICT 1 

 SERGIO JIMENEZ, DISTRICT 2  

 RAUL PERALEZ, DISTRICT 3  

 LAN DIEP, DISTRICT 4  

 MAGDALENA CARRASCO, DISTRICT 5 

 DEV DAVIS, DISTRICT 6 

 MAYA ESPARZA, DISTRICT 7 

 SYLVIA ARENAS, DISTRICT 8 

 PAM FOLEY, DISTRICT 9 

 JOHNNY KHAMIS, DISTRICT 10 
 



 
 City Council Synopsis  January 14, 2020 

 City of San José Page 2  January 14, 2020 

  
MINUTES OF THE CITY COUNCIL 

 

SAN JOSÉ, CALIFORNIA                                           TUESDAY, JANUARY 14, 2020 
 

 The Council of the City of San José convened in Regular Session at 1: 31 p.m. in the Council Chambers 

at City Hall. 
 

Present: Councilmembers     - Liccardo, Jones, Khamis, Davis, Diep, Jimenez, Peralez, Foley, 

Arenas. 
 

Absent: Councilmembers     - Carrasco, Esparza. 
 

STRATEGIC SUPPORT SERVICES  
 3.2 Accept Labor Negotiations Update.  

 There was no Update.  
 

CLOSED SESSION 
 

 Upon motion unanimously adopted, Council recessed at 9:37 a.m. to a Closed Session in Room W133; 

(A) to confer with Legal Counsel –- existing litigation: Initiation of litigation pursuant to Section 

54956.9(d)(1) 1. Case Name: In re: Claim of Tapia. Name(s) of Parties(s) Involved: Court: Workers 

Compensation Appeals Court; Case No.: ADJI 1385824, ADJI 0349317, ADJ7302310; Amount of 

Money or Other Relief Sought: Benefits. 2. Case Name: In re: Claim of Guzman; Name(s) of Parties(s) 

Involved: Court: Workers Compensation Appeals Court; Case No.: ADJ10861555; Amount of Money 

or Other Relief Sought: Benefits. 3. Case Name: Estate of Nunez, et al. v. City of San Jose; Name(s) of 

Parties(s) Involved: City of San Jose, Michael Santos, and Anthony Vizzusi; Tony Nunez, individually 

and as a successor in-interest to Decedent Anthony Nunez and The Estate Of Anthony Nunez; Court- 

U.S. District Court, Northern District of California, San Jose Division; Case No.: 17-CV-03860-LHK; 

Amount of Money or Other Relief Sought: Damages according to proof. 4. Case Name: Rodriguez v. 

City, et al. Name(s) of Parties(s) Involved: Francisco Rodriguez; Paulo Paredes, San Jose Police 

Department, City of San Jose; Court: Superior Court of California, Unlimited jurisdiction; Case No.: 

19-cv-343700; Amount of Money or Other Relief Sought: Damages according to proof. 5. Case Name: 

Higgin v. City, et al.; Name(s) of Parties(s) Involved: Shawn Higgin; City of San Jose; Carmax Auto 

Superstores West Coast Pacific Bell Telephone Co.; Colorado Structures, Kevin Troyan and DOES 

1-100; Court- Superior Court of California, Unlimited jurisdiction; Case No.: 19-CV-351011; Amount 

of Money or Other Relief Sought: Damages according to proof. (B) confer with Labor Negotiator 

Pursuant to Government Code Section 54957.6: City Negotiator: Jennifer Schembri, Director of 

Employee Relations; Employee Organizations: (1) Organization or Name and Title of Unrepresented 

Employees: Association of Building, Mechanical and Electrical Inspectors (ABMEI); Nature of: 

  Negotiations: Wages/Salaries, Hours, Working Conditions, etc. Name of Existing Contract or MOA: 
 

(Item Continued on the Next Page) 
 

 
Access the video, the agenda, and related reports for this meeting by visiting the City's website at http:/www.sanjoseca.gov/civiccentertv. 

For information on any ordinance that is not hyperlinked to this document, please contact the Office of the City Clerk at (408) 535-1266. 

http://www.sanjoseca.gov/clerk/MeetingArchive.asp


 
 City Council Synopsis  January 14, 2020 

 City of San José Page 3  January 14, 2020 

 

 CLOSED SESSION (Cont’d.) 
 

  Memorandum of Agreement between City of San José and ABMEI (2) Organization or Name and Title  

  of Unrepresented Employees: Association of Engineers & Architects (AEA); Nature of Negotiations:  

  Wages/Salaries, Hours, Working Conditions, etc.; Name of Existing Contract or MOA: Memorandum  

  of Agreement between City of San José and AEA. (3) Organization or Name and Title of Unrepresented  

  Employees: Association of Maintenance Supervisory Personnel (AMSP); Nature of Negotiations:  

  Wages/Salaries, Hours, Working Conditions, etc.; Name of Existing Contract or MOA: Memorandum  

  of Agreement between City of San José and AMSP. Benefit & Compensation Summary.  

  (4) Organization or Name and Title of Unrepresented Employees: City Association of Management  

  Personnel Agreement (CAMP); Nature of Negotiations: Wages/Salaries, Hours, Working Conditions,  

  etc.; Name of Existing Contract or MOA: Memorandum of Agreement between City of San José and  

  CAMP. (5) Organization or Name and Title of Unrepresented Employees: International Association of  

  Firefighters, Local 230 (IAFF); Nature of Negotiations: Wages/Salaries, Hours, Working Conditions,  

  etc.; Name of Existing Contract or MOA: Memorandum of Agreement between City of San José and  

  International Association of Firefighters (IAFF), Local 230. (6) Organization or Name and Title of  

  Unrepresented Employees: International Brotherhood of Electrical Workers (IBEW); Nature of  

  Negotiations: Wages/Salaries, Hours, Working Conditions; Name of Existing Contract or MOA:  

  Memorandum of Agreement between City of San José and Local 332 (IBEW. (7) Organization or Name  

  and Title of Unrepresented Employees: Confidential Employees’ Organization, AFSCME Local 101  

  (CEO); Nature of Negotiations: Wages/Salaries, Hours, Working Conditions, etc.; Name of Existing  

  Contract or MOA: Memorandum of Agreement between Confidential Employees’ Organization,  

  AFSCME Local 101 and City of San José. (8) Organization or Name and Title of Unrepresented  

  Employees: International Union of Operating Engineers, Local No. 3 (OE#3); Nature of Negotiations:  

  Wages / Salaries, Hours, Working Conditions, etc.; Name of Existing Contract or MOA: Memorandum  

  of Agreement between City of San José and International Union of Operating Engineers, Local No. 3  

  (OE#3). (9) Organization or Name and Title of Unrepresented Employees: Peace Officer Park Ranger  

  Association, (POPRA). Nature of Negotiations: Wages/Salaries, Hours, Working Conditions, etc. Name  

  of Existing Contract or MOA: Memorandum of Agreement between City of San José and Peace Officer  

  Park Ranger Association. (10) Organization or Name and Title of Unrepresented Employees: San José  

  and San José Polices' Association, (SJPOA); Nature of negotiations: wages/salaries, hours, working  

  conditions, etc.; Name of Existing Memorandum of Agreement — City of San José and Contract or  

  MOA: (11) Organization or Name and Title of Unrepresented Employees: Association of Legal  

  Professionals of San José (ALP); Nature of Negotiations: Wages/Salaries, Hours, Working Conditions,  

  etc. Name of Existing Contract or MOA: Memorandum of Agreement between City of San Jose and  

  Association of Legal Professionals of San José. 

 

 By unanimous consent, Council recessed from the Closed Session at 10:30 a.m. and reconvened to 

Regular Session at 1:31 p.m. in the Council Chambers. 

 

Present: Councilmembers     - Liccardo, Jones, Khamis, Foley, Jimenez, Peralez, Diep, (9:52 a.m.) 

 

Absent: Councilmember[s]     - Carrasco, Esparza, Arenas) 

 

INVOCATION 

 

     Sulochina Lulla, member of the Hindu American Foundation, provided the Invocation. 



 
 City Council Synopsis  January 14, 2020 

 City of San José Page 4  January 14, 2020 

 

PLEDGE OF ALLEGIANCE 

 

 Mayor Sam Liccardo led the Pledge of Allegiance. 

 

 ORDERS OF THE DAY  
 

 Upon motion by Councilmember Dev Davis, seconded by Councilmember Sylvia Arenas, and carried 

unanimously, the Orders of the Day and the Amended Agenda were approved, with Item 6.1 to be heard out 

of order, and Item 10.3 heard before 10.2. 

 (9-2. Absent: Carrasco, Esparza) 
 

 • Closed Session Report 
 

No report. 
 
",0,0,Minutes_02.pdf,"January 14, 2020",False,False,False
26,"1. CEREMONIAL ITEMS  
",0,1,Minutes_02.pdf,"January 14, 2020",False,False,False
27,"1.1 Mayor Sam Liccardo and Councilmember Pam Foley presented a Commendation to Chuck Davidson  
  for his work building thousands of affordable homes for thousands of low income families in the City of  

  San José. 
 
",1,1,Minutes_02.pdf,"January 14, 2020",False,False,False
28,"1.2 Mayor Sam Liccardo presented a Commendation to Tim Ritchie for his years of service to the  
  community of San Jose as President and CEO of The Tech.  
 
",2,1,Minutes_02.pdf,"January 14, 2020",False,False,False
29,"1.3 Mayor Sam Liccardo and Councilmember Raul Peralez presented Commendation to Barby Ulmer for  
  her exemplary service to the communities of San José. 
 ",3,1,Minutes_02.pdf,"January 14, 2020",False,False,False
30,"1.4  Mayor Sam Liccardo presented a Commendation to John Cabeca for his exemplary leadership, 
  collaboration, and innovation benefiting the people and companies of San Jose and Silicon Valley.  

  Heard in the evening 
 
",4,1,Minutes_02.pdf,"January 14, 2020",False,False,False
31,"2. CONSENT CALENDAR  

  Upon motion by Councilmember Sergio Jimenez, seconded by Vice Mayor Chappie Jones, and carried 

  unanimously, the Consent Calendar was approved, with Item 2.9 pulled, and the below listed actions  

  taken as indicated.  

  (9-2. Absent: Carrasco, Esparza) 
 ",0,2,Minutes_02.pdf,"January 14, 2020",False,False,False
32,"2.1 20-060 Approval of City Council Minutes.  

 Recommendation: (a) City Council Meeting Minutes of December 3, 2019.  
 (b) City Council Meeting Minutes of December 17, 2019. 
 CEQA: Not a Project, File No. PP17-009, Staff Reports, Assessments, Annual Reports,  
 and Informational Memos that involve no approvals of any City action. 

    

   Action: The City Council Meeting Minutes of December 3, 2019, and the City Council  

   Meeting Minutes of December 17, 2019, were approved. 

   (9-2. Absent: Carrasco, Esparza) 

 



 
 City Council Synopsis  January 14, 2020 

 City of San José Page 5  January 14, 2020 

 
",1,2,Minutes_02.pdf,"January 14, 2020",False,True,False
33,"2.2 Final Adoption of Ordinances.     
  None provided. 

    ",2,2,Minutes_02.pdf,"January 14, 2020",False,False,False
34,"2.3 Approval of Council Committee Minutes.     
  None provided. 

    ",3,2,Minutes_02.pdf,"January 14, 2020",False,False,False
35,"2.4 Mayor and Council Excused Absence Requests.     
  None provided. 

    ",4,2,Minutes_02.pdf,"January 14, 2020",False,False,False
36,"2.5 City Council Travel Reports.     
  None provided. 

    ",5,2,Minutes_02.pdf,"January 14, 2020",False,False,False
37,"2.6 Report from the Council Liaison to the Retirement Boards.     
  None provided. 

    ",6,2,Minutes_02.pdf,"January 14, 2020",False,False,False
38,"2.7 20-001 Boards and Commissions Appointments.  

 Recommendation: Approve the following Boards and Commissions appointments: 
 a. Appoint Daniel Zazueta to a term ending December 31, 2023. 
 CEQA: Not a Project, File No. PP17-010, City Organization and Administrative  
 Activities resulting in no changes to the physical environment. (City Clerk) 

 [Deferred from 12/17/19 - Item 2.12 (e) (19-1141)] 
 

   Action: The appointment of Daniel Zazueta to a term ending December 31, 2023 was 

   approved.  

   (9-2. Absent: Carrasco, Esparza) 

 
",7,2,Minutes_02.pdf,"January 14, 2020",False,True,False
39,"2.8 20-033 City Manager’s Travel to Austin, Texas.  

 Recommendation: Authorize travel for City Manager David Sykes to Austin, Texas on January 23 - 25,  
  2020 to participate in the Large Cities Executive Forum. Source of Fund: Non-Personal  

  Appropriation. 

 CEQA: Not a Project, File No. PP17-010, City Organizational and Administrative  
 Activities resulting in no changes to the physical environment. (City Manager) 

 

 Action: Authorized travel for City Manager David Sykes to Austin, Texas on January 23    

 25, 2020 to participate in the Large Cities Executive Forum was approved.  

   (9-2. Absent: Carrasco, Esparza) 

 

 



 
 City Council Synopsis  January 14, 2020 

 City of San José Page 6  January 14, 2020 

 
",8,2,Minutes_02.pdf,"January 14, 2020",False,True,False
